subitem_1551255647225,subitem_title
subitem_1551257343002,subitem_subject_uri
subitem_1551255702686,subitem_publisher
subitem_1551255710277,subitem_publisher_language
subitem_1551255753471,subitem_date_issued_datetime
subitem_1551255775519,subitem_date_issued_type
subitem_1551255818386,subitem_language
subitem_1551255975405,subitem_version
subitem_1551256025676,subitem_version_type
subitem_1551256388439,subitem_relation_type
subitem_1551256465077,subitem_relation_type_id
subitem_1551256478339,subitem_relation_type_select
subitem_1551256629524,subitem_relation_type_id_text
subitem_1551256480278,subitem_relation_name
subitem_1551256498531,subitem_relation_name_text
subitem_1551256513476,subitem_relation_name_language
subitem_1551256918211,subitem_temporal_text
subitem_1551256920086,subitem_temporal_language
subitem_1551256454316,subitem_funder_identifiers
subitem_1551256614960,subitem_funder_identifier
subitem_1551256619706,subitem_funder_identifier_type
subitem_1551256462220,subitem_funder_names
subitem_1551256653656,subitem_funder_name
subitem_1551256657859,subitem_funder_name_language
subitem_1551256665850,subitem_award_numbers
subitem_1551256671920,subitem_award_number
subitem_1551256679403,subitem_award_uri
subitem_1551256688098,subitem_award_titles
subitem_1551256691232,subitem_award_title
subitem_1551256694883,subitem_award_title_language
subitem_1551256405981,subitem_source_identifier
subitem_1551256409644,subitem_source_identifier_type
subitem_1551256349044,subitem_source_title
subitem_1551256350188,subitem_source_title_language
subitem_1551256328147,subitem_volume
subitem_1551256294723,subitem_issue
subitem_1551256248092,subitem_number_of_pages
subitem_1551256198917,subitem_start_page
subitem_1551256185532,subitem_end_page
subitem_1551256171004,subitem_dissertationnumber
subitem_1551256126428,subitem_degreename
subitem_1551256129013,subitem_degreename_language
subitem_1551256096004,subitem_dategranted
subitem_1551256015892,subitem_degreegrantor_identifier
subitem_1551256027296,subitem_degreegrantor_identifier_name
subitem_1551256029891,subitem_degreegrantor_identifier_scheme
subitem_1551256037922,subitem_degreegrantor
subitem_1551256042287,subitem_degreegrantor_name
subitem_1551256047619,subitem_degreegrantor_language
subitem_1599711633003,subitem_conference_names
subitem_1599711636923,subitem_conference_name
subitem_1599711645590,subitem_conference_name_language
subitem_1599711655652,subitem_conference_sequence
subitem_1599711660052,subitem_conference_sponsors
subitem_1599711680082,subitem_conference_sponsor
subitem_1599711686511,subitem_conference_sponsor_language
subitem_1599711699392,subitem_conference_date
subitem_1599711704251,subitem_conference_period
subitem_1599711712451,subitem_conference_start_day
subitem_1599711727603,subitem_conference_start_month
subitem_1599711731891,subitem_conference_start_year
subitem_1599711735410,subitem_conference_end_day
subitem_1599711739022,subitem_conference_end_month
subitem_1599711743722,subitem_conference_end_year
subitem_1599711745532,subitem_conference_date_language
subitem_1599711758470,subitem_conference_venues
subitem_1599711769260,subitem_conference_venue
subitem_1599711775943,subitem_conference_venue_language
subitem_1599711788485,subitem_conference_places
subitem_1599711798761,subitem_conference_place
subitem_1599711803382,subitem_conference_place_language
subitem_1599711813532,subitem_conference_country
subitem_1586419454219,subitem_text_value
subitem_1586419462229,subitem_text_language
subitem_1551256775293,subitem_geolocation_place.subitem_geolocation_place_text
subitem_1551256778926,subitem_geolocation_point
subitem_1551256783928,subitem_point_longitude
subitem_1551256814806,subitem_point_latitude
subitem_1551256822219,subitem_geolocation_box
subitem_1551256824945,subitem_west_longitude
subitem_1551256831892,subitem_east_longitude
subitem_1551256834732,subitem_south_latitude
subitem_1551256840435,subitem_north_latitude
subitem_1551256842196,subitem_geolocation_place
subitem_1570008213846,subitem_geolocation_place_text
subitem_1551255558587,url
subitem_1551255570271,url
subitem_1551255581435,objectType
subitem_1551255628842,label
subitem_1551255750794,format
subitem_1551255788530,filesize
subitem_1570068579439,value
subitem_1551255820788,date
subitem_1551255828320,dateValue
subitem_1551255833133,dateType
subitem_1551255854908,version
subitem_1551256250276,subitem_identifier_reg_text
subitem_1551256259586,subitem_identifier_reg_type
subitem_1522657647525,subitem_description_type
subitem_1522657697257,subitem_description
subitem_1523262169140,subitem_description_language
subitem_1551255637472,subitem_description_type
subitem_1551255577890,subitem_description
subitem_1551255592625,subitem_description_language
subitem_1587462181884,subitem_text_value
subitem_1587462183075,subitem_text_language
subitem_1586228465211,subitem_text_value
subitem_1586228490356,subitem_text_language
subitem_1602144759036,subitem_uri_value
subitem_1602142814330,subitem_text_value
subitem_1602142815328,subitem_text_language
subitem_1602143181822,subitem_uri_value
subitem_1522306207484,subitem_relation_type
subitem_1522306287251,subitem_relation_type_id
subitem_1522306382014,subitem_relation_type_select
subitem_1522306436033,subitem_relation_type_id_text
subitem_1523320863692,subitem_relation_name
subitem_1523320867455,subitem_relation_name_language
subitem_1523320909613,subitem_relation_name_text
subitem_1723355974639,subitem_subject
subitem_1723355975615,subitem_subject_uri
subitem_1723715398530,subitem_attribute_name
subitem_1723715410482,subitem_attribute_display_name
subitem_1723715414997,subitem_attribute_harmonized_name
subitem_1723715419658,subitem_attribute_content
subitem_1586253392325,subitem_description
subitem_1586253400535,subitem_description_language
subitem_1723359397816,subitem_package_name
subitem_1723359398479,subitem_package_display_name
subitem_1723716945709,subitem_description_type
subitem_1723716944751,subitem_description
subitem_1723717025761,subitem_distribution_url
subitem_1723717026449,subitem_distribution_format
subitem_1723717027092,subitem_distribution_type
subitem_1723716974389,subitem_download_name
subitem_1723716975164,subitem_download_ftpurl
subitem_1723716975837,subitem_download_type
subitem_1723716976542,subitem_download_url
subitem_1522300695726,subitem_date_issued_type
subitem_1522300722591,subitem_date_issued_datetime
subitem_1723717080869,subitem_organization_name
subitem_1723717081380,subitem_organization_role
subitem_1723717081957,subitem_organization_type
subitem_1723717082461,subitem_organization_abbr_name
subitem_1723717083030,subitem_organization_url
subitem_1723717048899,subitem_publication_date
subitem_1723717049479,subitem_publication_id
subitem_1723717050012,subitem_publication_status
subitem_1723717051591,subitem_publication_reference
subitem_1723717052093,subitem_publication_dbtype
subitem_1723718052828,subitem_award_number
subitem_1723718053760,subitem_award_title
subitem_1723718055112,subitem_funder_names
subitem_1723718059932,subitem_funder_abbr_name
subitem_1723718062249,subitem_funder_name
